,row,prey_class,prey_desc,observed_on,url,prey_Y.N,latitude,longitude,notes,observer,min_weight,max_weight,avian_size_class
1283,1,ave,ACWO,4/14/2020,https://www.inaturalist.org/observations/42188246,y,34.18739,-118.127,,DJM,60,93,Medium
1284,2,ave,ACWO,10/6/2021,https://www.inaturalist.org/observations/97966801,y,34.10293,-117.764,cool pics,WJG,60,93,Medium
1285,3,ave,ACWO,8/22/2014,https://www.inaturalist.org/observations/13180232,y,34.25868,-118.289,,WJG,60,93,Medium
1286,4,ave,ACWO,11/22/2021,https://www.inaturalist.org/observations/101732690,y,35.5565,-120.794,,DJM,60,93,Medium
1287,5,ave,AMCO,12/17/2014,http://www.inaturalist.org/observations/1175050,y,31.8092,-111.026,,WJG,427,848,Large
1288,6,ave,AMCO,10/21/2021,https://www.inaturalist.org/observations/98912814,y,33.66664,-112.212,pic 3 is clear picture of foot,WJG,427,848,Large
1289,7,ave,AMCO,12/22/2011,http://www.inaturalist.org/observations/1204233,y,32.86831,-96.573,"Notes state AMCO, but pretty hard to confirm. ",WJG,427,848,Large
1290,8,ave,AMCO,11/27/2021,https://www.inaturalist.org/observations/102035644,y,33.01219,-97.1483,very cool pics,DJM,427,848,Large
1291,9,ave,AMCO,2/7/2015,http://www.inaturalist.org/observations/1358940,y,38.55472,-121.631,,WJG,427,848,Large
1292,10,ave,AMCO,11/20/2022,https://www.inaturalist.org/observations/142481552,y,33.70704,-118.005,"banded; ID by WJG- Large black bird with short tail that is white underneath. Feet don't look as heavily lobed as some, but last picture appears to have some lobing.",Madeline,427,848,Large
1293,11,ave,AMCO,12/30/2022,https://www.inaturalist.org/observations/145469295,y,28.6764,-80.7627,"Large black bird, head with large white bill in first pic",WJG,427,848,Large
1294,12,ave,AMCO,3/24/2021,https://www.inaturalist.org/observations/73415137,y,44.95933,-123.271,,WJG,427,848,Large
1295,13,ave,AMCO,1/5/2013,http://www.inaturalist.org/observations/175026,y,32.85178,-117.006,,WJG,427,848,Large
1296,14,ave,AMCR,3/18/2019,https://www.inaturalist.org/observations/21471339,y,29.55504,-98.6644,,DJM,330,570,Large
1297,15,ave,AMCR,11/25/2022,https://www.inaturalist.org/observations/142873255,y,45.52393,-122.69,ID by WJG,Madeline,330,570,Large
1298,16,ave,AMCR,9/25/2018,https://www.inaturalist.org/observations/17001302,y,34.41349,-119.842,,WJG,330,570,Large
1299,17,ave,AMCR/FICR,3/19/2022,https://www.inaturalist.org/observations/108983146,y,36.79419,-76.1228,,DJM,225,570,large
1300,18,ave,AMCR/FICR,4/11/2023,https://www.inaturalist.org/observations/154473912,y,41.72626,-70.0066,Absolutely brutal!,WJG,225,570,large
1301,19,ave,AMCR/FICR,1/11/2014,https://www.inaturalist.org/observations/111242486,y,38.14092,-75.7464,,DJM,225,570,large
1302,20,mammalia,american mink,2/7/2022,https://www.inaturalist.org/observations/106321341,y,37.45352,-122.168,"Seems very large for a squirrel, but I'm not sure what else it could be. Interesting.",WJG,700,1600,na
1303,21,mammalia,american red squirrel,11/5/2022,https://www.inaturalist.org/observations/141159187,y,40.92106,-74.3345,,WJG,197.3,282.2,na
1304,22,mammalia,american red squirrel,9/9/2014,http://www.inaturalist.org/observations/876417,y,41.14265,-81.6076,,WJG,197.3,282.2,na
1305,23,mammalia,american red squirrel,11/3/2019,https://www.inaturalist.org/observations/35285887,y,41.3181,-81.5859,,WJG,197.3,282.2,na
1306,24,mammalia,american red squirrel,6/16/2020,https://www.inaturalist.org/observations/64573806,y,35.88326,-106.676,notes say red squirrel ,Jenna Waldeck,197.3,282.2,na
1307,25,mammalia,american red squirrel,11/4/2022,https://www.inaturalist.org/observations/142471706,y,41.68358,-85.21,ID by WJG,Madeline,197.3,282.2,na
1308,26,mammalia,american red squirrel,4/5/2012,https://www.inaturalist.org/observations/11238133,y,44.86025,-93.6204,,WJG,197.3,282.2,na
1309,27,mammalia,american red squirrel,12/19/2013,http://www.inaturalist.org/observations/3817338,y,39.85583,-75.1246,,WJG,197.3,282.2,na
1310,28,ave,AMKE,12/13/2021,https://www.inaturalist.org/observations/103009169,y,34.10626,-117.588,!!!,DJM,80,165,Medium
1311,29,ave,AMKE,3/25/2017,https://www.inaturalist.org/observations/5641777,y,30.56516,-103.885,Notes say AMKE was roadkilled and scavenged by COHA,WJG,80,165,Medium
1312,30,ave,AMRO,4/23/2018,https://www.inaturalist.org/observations/11371691,y,32.88108,-97.2785,,WJG,67,95,Medium
1313,31,ave,AMRO,3/23/2019,https://www.inaturalist.org/observations/21543221,y,40.7645,-77.9141,,DJM,67,95,Medium
1314,32,ave,AMRO,1/15/2021,https://www.inaturalist.org/observations/68132936,y,38.93619,-77.3506,,DJM,67,95,Medium
1315,33,ave,AMRO,10/3/2018,https://www.inaturalist.org/observations/17177255,y,41.98028,-87.7453,,WJG,67,95,Medium
1316,34,ave,AMRO,6/7/2020,https://www.inaturalist.org/observations/48848305,y,39.93625,-85.9681,Ask. Definitely possible to ID.,WJG,67,95,Medium
1317,35,ave,AMRO,2/4/2022,https://www.inaturalist.org/observations/106238976,y,37.97257,-84.5126,,WJG,67,95,Medium
1318,36,ave,AMRO,7/2/2020,https://www.inaturalist.org/observations/52078516,y,35.19869,-89.7605,,DJM,67,95,Medium
1319,37,ave,AMRO,7/15/2022,https://www.inaturalist.org/observations/126502214,y,47.69965,-122.187,great pics,DJM,67,95,Medium
1320,38,ave,AMRO,1/9/2023,https://www.inaturalist.org/observations/146375955,y,32.73535,-117.131,sweet photo,DJM,67,95,Medium
1321,39,ave,AMRO,7/11/2022,https://www.inaturalist.org/observations/125856871,y,40.49697,-111.839,rufous feathers bottom left,DJM,67,95,Medium
1322,40,ave,AMRO,4/3/2023,https://www.inaturalist.org/observations/164623767,y,43.63883,-116.259,,WJG,67,95,Medium
1323,41,ave,AMRO,3/26/2023,https://www.inaturalist.org/observations/152374792,y,36.08991,-79.8394,last picture shows rufous feathers and white eyering around dark head,Madeline,67,95,Medium
1324,42,ave,AMRO,12/27/2019,https://www.inaturalist.org/observations/37803964,y,44.11132,-123.249,"Record is ""AMRO"" but I'm counting it",DJM,67,95,Medium
1325,43,ave,AMRO,1/29/2023,https://www.inaturalist.org/observations/147642372,y,45.47503,-122.692,"fairly certain. Yellow bill, dark head, gray body, rufous also visible",DJM,67,95,Medium
1326,44,ave,AMRO,7/27/2018,https://www.inaturalist.org/observations/14977435,y,42.58025,-88.5233,,WJG,67,95,Medium
1327,45,ave,AMRO,6/28/2022,https://www.inaturalist.org/observations/123920566,y,39.44574,-119.742,,DJM,67,95,Medium
1328,46,ave,AMRO,3/15/2021,https://www.inaturalist.org/observations/71497335,y,44.0123,-121.35,,WJG,67,95,Medium
1329,47,ave,AMRO,3/24/2020,https://www.inaturalist.org/observations/40647089,y,41.87573,-87.7742,,DJM,67,95,Medium
1330,48,ave,AMRO,4/2/2023,https://www.inaturalist.org/observations/153613171,y,40.45093,-86.9344,cool pics!,WJG,67,95,Medium
1331,49,ave,AMRO,7/31/2023,https://www.inaturalist.org/observations/175969990,y,47.59391,-120.67,juvenile,DJM,67,95,Medium
1332,50,ave,AMRO,4/15/2022,https://www.inaturalist.org/observations/112903411,y,42.06083,-87.8798,,DJM,67,95,Medium
1333,51,ave,AMRO,4/30/2022,https://www.inaturalist.org/observations/113987075,y,40.454,-86.9357,,WJG,67,95,Medium
1334,52,ave,AMRO,3/20/2021,https://www.inaturalist.org/observations/71617927,y,42.08163,-70.9888,,WJG,67,95,Medium
1335,53,ave,AMRO,1/28/2020,https://www.inaturalist.org/observations/38071228,y,38.95685,-77.1534,,DJM,67,95,Medium
1336,54,ave,AMRO,10/9/2021,https://www.inaturalist.org/observations/97739096,y,37.76871,-122.492,"Color looks like maybe AMRO, but could be lighting",WJG,67,95,Medium
1337,55,ave,AMRO,3/14/2021,https://www.inaturalist.org/observations/71228262,y,39.95494,-75.3897,Brutal,WJG,67,95,Medium
1338,56,ave,AMRO,4/10/2017,https://www.inaturalist.org/observations/5638580,y,40.04689,-105.288,,WJG,67,95,Medium
1339,57,ave,AMRO,5/7/2020,https://www.inaturalist.org/observations/45398356,y,42.03003,-87.6952,Really not sure. Ask. Black head with possible white supercillium and yellow/black bill?,WJG,67,95,Medium
1340,58,ave,AMRO,7/28/2020,https://www.inaturalist.org/observations/54691643,y,44.96127,-93.1519,"white spots on tail, pink legs, wing is right",DJM,67,95,Medium
1341,59,ave,AMRO,10/8/2020,https://www.inaturalist.org/observations/62028508,y,38.99185,-76.8956,,WJG,67,95,Medium
1342,60,ave,AMRO,6/14/2019,https://www.inaturalist.org/observations/27165099,y,47.01299,-122.885,"Notes. Can only see primaries, but size and color of primaries makes AMRO believable",WJG,67,95,Medium
1343,61,ave,AMRO,12/13/2019,https://www.inaturalist.org/observations/36715862,y,40.65351,-111.824,"Probable, but not 100%",WJG,67,95,Medium
1344,62,ave,AMRO,1/27/2021,https://www.inaturalist.org/observations/68711231,y,29.56074,-95.121,see notes on obs,DJM,67,95,Medium
1345,63,ave,AMRO,3/10/2022,https://www.inaturalist.org/observations/108332819,y,38.24546,-85.7173,,DJM,67,95,Medium
1346,64,ave,AMRO,10/9/2020,https://www.inaturalist.org/observations/62141388,y,43.62424,-72.5185,,WJG,67,95,Medium
1347,65,ave,AMRO,10/3/2022,https://www.inaturalist.org/observations/137905724,y,38.60573,-90.2558,"dark head, white eye arcs, rufous breast, gray wings",DJM,67,95,Medium
1348,66,ave,AMRO,10/17/2020,https://www.inaturalist.org/observations/62904763,y,35.64233,-105.927,blurry but could be prey,Jenna Waldeck,67,95,Medium
1349,67,ave,AMRO,7/31/2018,https://www.inaturalist.org/observations/15001900,y,36.27072,-82.4574,,WJG,67,95,Medium
1350,68,ave,AMRO,4/16/2023,https://www.inaturalist.org/observations/155223795,y,40.12824,-74.6837,cool,WJG,67,95,Medium
1351,69,ave,AMRO,2/5/2023,https://www.inaturalist.org/observations/148139790,y,40.23371,-75.4636,,DJM,67,95,Medium
1352,70,ave,AMRO,4/4/2018,https://www.inaturalist.org/observations/98583558,y,42.03093,-87.8591,"Some rufous feathers, but pretty blurry",WJG,67,95,Medium
1353,71,ave,AMRO,10/18/2019,https://www.inaturalist.org/observations/34714922,y,35.13457,-118.46,"Notes say quail, but unsure.",WJG,67,95,Medium
1354,72,ave,AMRO,2/28/2020,https://www.inaturalist.org/observations/39338510,y,38.87244,-77.141,,DJM,67,95,Medium
1355,73,ave,AMRO,4/11/2017,https://www.inaturalist.org/observations/5650222,y,44.27541,-94.1991,Prey not visible; notes say AMRO,WJG,67,95,Medium
1356,74,ave,AMRO,3/24/2020,https://www.inaturalist.org/observations/45115983,y,40.82473,-96.6157,Notes say AMRO. Gray and some rufous feathers support this.,WJG,67,95,Medium
1357,75,ave,AMRO,8/1/2021,https://www.inaturalist.org/observations/89909262,y,40.00901,-105.218,tail edge in pic 6; juv,DJM,67,95,Medium
1358,76,ave,AMRO,3/12/2021,https://www.inaturalist.org/observations/73567535,y,39.85746,-75.2029,,WJG,67,95,Medium
1359,77,ave,AMRO,3/28/2018,https://www.inaturalist.org/observations/18332022,y,38.61096,-90.2593,"x2, one with prey",WJG,67,95,Medium
1360,78,ave,AMRO,5/29/2022,https://www.inaturalist.org/observations/119518389,y,39.94565,-82.978,fledgling,DJM,67,95,Medium
1361,79,ave,AMRO,3/24/2022,https://www.inaturalist.org/observations/109404128,y,33.66135,-78.9278,,DJM,67,95,Medium
1362,80,ave,AMRO,3/17/2022,https://www.inaturalist.org/observations/108806988,y,43.07832,-89.4645,,DJM,67,95,Medium
1363,81,ave,AMRO,2/11/2021,https://www.inaturalist.org/observations/69426830,y,33.08036,-96.7628,"Yes, robin - Dr. M",Jules,67,95,Medium
1364,82,ave,AMRO,4/8/2020,https://www.inaturalist.org/observations/42128671,y,44.97406,-92.9721,,DJM,67,95,Medium
1365,83,ave,AMRO,4/8/2018,https://www.inaturalist.org/observations/11938372,y,42.93505,-88.0029,notes,WJG,67,95,Medium
1366,84,ave,AMRO,7/13/2020,https://www.inaturalist.org/observations/52999902,y,38.67749,-90.3925,rufous feathers visible,DJM,67,95,Medium
1367,85,ave,AMRO,3/30/2022,https://www.inaturalist.org/observations/110012085,y,29.76043,-95.3698,,DJM,67,95,Medium
1368,86,ave,AMWI,12/27/2022,https://www.inaturalist.org/observations/146795222,y,32.96796,-96.8911,cool pic,DJM,665,1330,Large
1369,87,ave,AMWO,3/8/2022,https://www.inaturalist.org/observations/108174330,y,39.29014,-76.5819,,DJM,116,279,Large
1370,88,ave,AMWO,12/1/2022,https://www.inaturalist.org/observations/143429792,y,40.71739,-74.0367,"Obsv was for dead AMWO, but second picture shows COHA on top of it. Possible window struck prey.",WJG,116,279,Large
1371,89,mammalia,antelope squirrel sp.,6/7/2023,https://www.inaturalist.org/observations/172953531,y,34.06789,-106.908,,DJM,96,117,na
1372,90,mammalia,arizona gray squirrel,2/18/2023,https://www.inaturalist.org/observations/149785324,y,33.5363,-111.908,,WJG,540,700,na
1373,91,mammalia,arizona gray squirrel,4/17/2021,https://www.inaturalist.org/observations/74600514,y,33.91844,-111.417,,WJG,540,700,na
1819,92,ave,BBMA,11/11/2018,https://www.inaturalist.org/observations/18346951,y,36.37241,-105.605,,WJG,141,192,Large
1820,93,ave,BCCH,12/8/2017,https://www.inaturalist.org/observations/9625194,y,43.1004,-89.5249,"Hard to tell for sure, but small bird with black and white feathers.",WJG,8.5,13.5,Small
1821,94,ave,BCCH,5/9/2020,https://www.inaturalist.org/observations/72834267,y,41.9841,-72.2144,,WJG,8.5,13.5,Small
1822,95,ave,BCCH,6/4/2020,https://www.inaturalist.org/observations/48618792,y,45.64191,-122.819,"Could be MOCH, but can't see a white supercillium; seems like the white supercillium would be visible",WJG,8.5,13.5,Small
1823,96,ave,BEWR,9/28/2020,https://www.inaturalist.org/observations/61145218,y,37.52807,-122.315,,Jenna Waldeck/WG,8.3,11.2,Small
1824,97,ave,BEWR,7/28/2021,https://www.inaturalist.org/observations/89276392,y,34.4493,-119.669,nice pic,DJM,8.3,11.2,Small
1825,98,ave,BHCO,6/12/2022,https://www.inaturalist.org/observations/121539227,y,32.99378,-96.8944,,DJM,27,54,Medium
1826,99,ave,BHCO,3/28/2008,https://www.inaturalist.org/observations/29372867,y,29.50903,-98.6571,,WJG,27,54,Medium
1827,100,ave,BHCO,4/15/2020,https://www.inaturalist.org/observations/42233841,y,32.50746,-94.6914,,DJM,27,54,Medium
1828,101,ave,BHCO,8/4/2020,https://www.inaturalist.org/observations/55397762,y,38.75914,-90.5882,,DJM,27,54,Medium
1829,102,ave,BHCO,7/11/2017,https://www.inaturalist.org/observations/7018065,y,30.56541,-103.884,,WJG,27,54,Medium
1830,103,ave,BHCO,4/22/2017,https://www.inaturalist.org/observations/5947673,y,42.91791,-78.7485,,WJG,27,54,Medium
1831,104,mammalia,black-tailed jackrabbit,3/24/2023,https://www.inaturalist.org/observations/154768602,y,32.64288,-110.843,,WJG,1300,3100,na
1832,105,ave,BLJA,6/30/2021,https://www.inaturalist.org/observations/85140342,y,26.1024,-80.2583,,DJM,68,107,Medium
1833,106,ave,BLJA,11/19/2019,https://www.inaturalist.org/observations/35849576,y,39.91166,-75.0184,,WJG,68,107,Medium
1834,107,ave,BLJA,9/3/2020,https://www.inaturalist.org/observations/58444796,y,39.9754,-86.1702,,DJM,68,107,Medium
1835,108,ave,BLJA,12/4/2020,https://www.inaturalist.org/observations/66117473,y,41.46038,-70.6227,,WJG,68,107,Medium
1836,109,ave,BLJA,7/15/2021,https://www.inaturalist.org/observations/89281454,y,30.01215,-95.527,notes say BLJA and that seems correct - rough pic tho,DJM,68,107,Medium
1837,110,ave,BLJA,5/31/2017,https://www.inaturalist.org/observations/19689230,y,29.80664,-95.7655,,April,68,107,Medium
1838,111,ave,BLJA,6/7/2021,https://www.inaturalist.org/observations/82072826,y,32.85676,-96.6859,x2,WJG,68,107,Medium
1839,112,ave,BLJA,6/13/2019,https://www.inaturalist.org/observations/26949608,y,29.77778,-95.6766,"Ask. Says possible fledgling BLJA, but I don't agree",WJG,68,107,Medium
1840,113,ave,BLJA,5/15/2021,https://www.inaturalist.org/observations/78916635,y,32.94833,-96.6888,Great colors,WJG,68,107,Medium
1841,114,ave,BLJA,7/2/2017,https://www.inaturalist.org/observations/6885299,y,41.17575,-73.6662,,WJG,68,107,Medium
1842,115,ave,BLJA,4/29/2016,http://www.inaturalist.org/observations/3059740,y,32.7005,-97.155,"Notes say BLJA. Doesn't look entirely like BLJA, but I can see some evidence",WJG,68,107,Medium
1843,116,ave,BLJA,9/8/2020,https://www.inaturalist.org/observations/58979904,y,40.23291,-75.2302,,DJM,68,107,Medium
1844,117,ave,BLJA,1/21/2021,https://www.inaturalist.org/observations/68802912,y,27.81991,-82.7055,cool pic,DJM,68,107,Medium
1845,118,ave,BLJA,2/8/2017,https://www.inaturalist.org/observations/5081737,y,32.6687,-97.2884,,WJG,68,107,Medium
1846,119,ave,BLJA,9/13/2006,https://www.inaturalist.org/observations/74227211,y,42.57741,-83.0649,Mostly plucked,WJG,68,107,Medium
1847,120,ave,BLJA,8/17/2020,https://www.inaturalist.org/observations/57155243,y,33.07945,-97.042,,DJM,68,107,Medium
1848,121,ave,BLJA,1/22/2020,https://www.inaturalist.org/observations/39672784,y,41.36452,-72.6579,rectrices visible,DJM,68,107,Medium
1849,122,ave,BLJA,9/11/2020,https://www.inaturalist.org/observations/59263263,y,33.1447,-96.8009,,DJM,68,107,Medium
1850,123,ave,BLJA,12/26/2021,https://www.inaturalist.org/observations/103722537,y,25.70783,-80.3315,ID by DJM,Madeline,68,107,Medium
1851,124,ave,BLJA,12/21/2020,https://www.inaturalist.org/observations/66882955,y,42.8632,-70.934,,DJM,68,107,Medium
1852,125,ave,BLJA,4/14/2019,https://www.inaturalist.org/observations/22500194,y,29.98998,-95.7134,,DJM,68,107,Medium
1853,126,ave,BLJA,9/21/2014,http://www.inaturalist.org/observations/901056,y,38.83269,-77.0702,,WJG,68,107,Medium
1854,127,ave,BLPH,6/21/2021,https://www.inaturalist.org/observations/83995079,y,37.50817,-122.474,fledgling,DJM,17,22,Small
1855,128,ave,BLPH,5/18/2019,https://www.inaturalist.org/observations/28078592,y,34.08694,-118.27,Ask or come back later. It can definitely be IDed. (ID: DJM),WJG,17,22,Small
1856,129,ave,BLPH,7/29/2021,https://www.inaturalist.org/observations/89158743,y,33.67395,-117.808,I think...,DJM,17,22,Small
1857,130,mammalia,botta's pocket gopher,3/21/2022,https://www.inaturalist.org/observations/109181123,y,36.43895,-115.36,,DJM,90,141,na
1858,131,ave,BRBL,8/26/2018,https://www.inaturalist.org/observations/17835974,y,44.17787,-121.033,,WJG,45,81,Medium
1859,132,sauria,broad-headed skink,6/29/2021,https://www.inaturalist.org/observations/85009862,y,35.75165,-89.1723,ID based on size and range,DJM,25.43,30.03,na
1860,133,ave,BTGN,11/10/2016,http://www.inaturalist.org/observations/4617330,y,32.26205,-111.014,,WJG,4.5,6.3,Small
1861,134,ave,BTGR,10/1/2022,https://www.inaturalist.org/observations/137193353,y,29.62946,-82.3833,,DJM,100,145,Medium
1862,135,ave,BTGR/GTGR,7/26/2017,https://www.inaturalist.org/observations/19822531,y,29.74515,-95.7933,,April,85,225,Large
1863,136,ave,BTPI,10/5/2016,http://www.inaturalist.org/observations/4280840,y,34.15797,-118.123,,WJG,260,470,Large
1864,137,ave,BTPI,4/2/2021,https://www.inaturalist.org/observations/72741419,y,34.10563,-118.192,"yellow legs, pale band on tail, ID = DJM",WJG,260,470,Large
1865,138,ave,BTPI,3/17/2023,https://www.inaturalist.org/observations/151480616,y,37.76649,-121.957,large yellow foot with short toes and tarsus; only bird in this area with foot like this,Madeline,260,470,Large
1866,139,ave,BTPI,4/8/2016,http://www.inaturalist.org/observations/4478376,y,32.28399,-110.837,,WJG,260,470,Large
1867,140,ave,budgerigar,10/8/2022,https://www.inaturalist.org/observations/138350495,y,29.91423,-95.6858,According to note... seems correct,DJM,26,29,Small
1868,141,ave,BUSH,8/21/2021,https://www.inaturalist.org/observations/93223091,y,32.55446,-117.088,,WJG,4.7,6.5,Small
1869,142,ave,BWTE,1/1/2020,https://www.inaturalist.org/observations/104413102,y,26.46154,-80.0728,ID by DJM,Madeline,325,513,Large
1870,143,ave,CACH,1/11/2021,https://www.inaturalist.org/observations/67911609,y,32.75679,-80.057,,DJM,8.1,12.1,Small
1871,144,mammalia,california ground squirrel,4/21/2020,https://www.inaturalist.org/observations/42784621,y,33.13402,-117.111,,Jenna Waldeck/DJM,280,738,na
1872,145,mammalia,california ground squirrel,7/7/2019,https://www.inaturalist.org/observations/28456955,y,34.38994,-119.312,come back later to ID spp.,WJG,280,738,na
1873,146,mammalia,california ground squirrel,7/10/2023,https://www.inaturalist.org/observations/172373113,y,37.39572,-121.799,,DJM,280,738,na
1874,147,mammalia,california ground squirrel,6/15/2023,https://www.inaturalist.org/observations/168325093,y,32.73415,-117.145,,DJM,280,738,na
1875,148,mammalia,california ground squirrel,6/30/2022,https://www.inaturalist.org/observations/127045284,y,33.66028,-117.841,,DJM,280,738,na
1876,149,mammalia,california ground squirrel,7/23/2023,https://www.inaturalist.org/observations/174575101,y,37.47364,-122.17,,DJM,280,738,na
1877,150,ave,CAQU,11/18/2022,https://www.inaturalist.org/observations/142333166,y,46.55449,-116.937,ID by WJG; only quail in this area with this patterning,Madeline,241,270,Large
1878,151,ave,CAQU,6/29/2020,https://www.inaturalist.org/observations/51423018,y,47.75195,-122.3,,DJM,241,270,Large
1879,152,ave,CAQU,10/31/2020,https://www.inaturalist.org/observations/63939318,y,40.77833,-111.891,,Jenna Waldeck,241,270,Large
1880,153,ave,CAQU,4/26/2020,https://www.inaturalist.org/observations/44553232,y,40.77836,-111.864,Ask,WJG,241,270,Large
1881,154,ave,CAQU,4/5/2021,https://www.inaturalist.org/observations/117735199,y,37.36283,-119.729,cool photo,DJM,241,270,Large
1882,155,ave,CAQU,10/7/2022,https://www.inaturalist.org/observations/137933170,y,32.96917,-117.077,,DJM,241,270,Large
1883,156,ave,CAQU,3/21/2020,https://www.inaturalist.org/observations/40697124,y,34.47437,-118.621,,DJM,241,270,Large
1884,157,ave,CAQU,11/10/2019,https://www.inaturalist.org/observations/39706263,y,36.49057,-121.182,,DJM,241,270,Large
1885,158,ave,CAQU,4/16/2017,https://www.inaturalist.org/observations/5823968,y,34.23485,-118.383,,WJG,241,270,Large
1886,159,ave,CARW,11/10/2022,https://www.inaturalist.org/observations/141631616,y,31.95193,-81.0376,ID by WJG,Madeline,15.7,22.8,Small
1887,160,ave,CARW,6/23/2021,https://www.inaturalist.org/observations/84189007,y,35.77794,-78.8984,like 90% sure on prey ID,DJM,15.7,22.8,Small
1888,161,ave,CARW,12/24/2021,https://www.inaturalist.org/observations/103633246,y,38.94187,-77.354,VERY cool pic!!,Madeline,15.7,22.8,Small
1889,162,ave,CASJ,4/15/2016,https://www.inaturalist.org/observations/62893048,y,37.87999,-122.036,ID: DJM,Jenna Waldeck,67,97,Medium
1890,163,ave,CASJ,5/20/2020,https://www.inaturalist.org/observations/90205801,y,38.64128,-121.385,,DJM,67,97,Medium
1891,164,ave,CASJ,9/1/2020,https://www.inaturalist.org/observations/58293100,y,44.96432,-123.07,,DJM,67,97,Medium
1892,165,ave,CASJ,7/18/2020,https://www.inaturalist.org/observations/53679599,y,38.14859,-121.296,,DJM,67,97,Medium
1893,166,ave,CASJ,3/6/2022,https://www.inaturalist.org/observations/108118872,y,37.58148,-121.692,,DJM,67,97,Medium
1894,167,ave,CASJ,5/22/2019,https://www.inaturalist.org/observations/33240264,y,37.21678,-121.838,,DJM,67,97,Medium
1895,168,ave,CASJ,7/14/2020,https://www.inaturalist.org/observations/53152988,y,33.13675,-117.116,,DJM,67,97,Medium
1896,169,ave,CBCH,1/13/2016,http://www.inaturalist.org/observations/2603647,y,37.77433,-122.282,,WJG,8,10.8,Small
1897,170,ave,CBTH,3/19/2022,https://www.inaturalist.org/observations/173516116,y,26.19129,-98.3747,,DJM,66,97,Medium
1898,171,ave,CEDW,2/12/2021,https://www.inaturalist.org/observations/70321732,y,30.20023,-95.5048,,WJG,24,43,Small
1899,172,ave,CEDW,2/28/2017,https://www.inaturalist.org/observations/17920026,y,41.66446,-91.5385,cool!,WJG,24,43,Small
1900,173,ave,CEDW,3/27/2021,https://www.inaturalist.org/observations/72179280,y,37.6863,-121.781,"CEDW? See black that may be the mask, but it's so blurry I can't be postive.",WJG,24,43,Small
1901,174,ave,CGDO,1/26/2023,https://www.inaturalist.org/observations/147956465,y,32.34073,-83.9199,,DJM,27,47,Small
1902,175,ave,CGDO,10/19/2019,https://www.inaturalist.org/observations/34762928,y,29.2194,-94.9339,"ask- black and dark gray feathers, with maybe some brown",WJG,27,47,Small
1903,176,ave,CITE,3/13/2023,https://www.inaturalist.org/observations/151784868,y,37.04041,-113.63,cool!,Madeline,335,401,Large
1904,177,ave,COGR,3/27/2019,https://www.inaturalist.org/observations/25984379,y,34.20285,-118.673,Black (and maybe brown?) bird. Ask.,WJG,84,114,Medium
1905,178,ave,COGR,5/8/2020,https://www.inaturalist.org/observations/45292738,y,45.3259,-93.243,,WJG,84,114,Medium
1906,179,ave,COGR,3/8/2021,https://www.inaturalist.org/observations/104437281,y,38.75543,-75.3607,ID by DJM,Madeline,84,114,Medium
1907,180,ave,COGR,4/11/2020,https://www.inaturalist.org/observations/41942785,y,40.27346,-80.1201,,DJM,84,114,Medium
1908,181,ave,COGR,6/13/2023,https://www.inaturalist.org/observations/167266822,y,43.18919,-71.7316,,DJM,84,114,Medium
1909,182,ave,COGR,3/21/2021,https://www.inaturalist.org/observations/146866556,y,39.61255,-75.7946,,DJM,84,114,Medium
1910,183,ave,COGR,3/9/2023,https://www.inaturalist.org/observations/150680323,y,42.37074,-73.8749,,WJG,84,114,Medium
1911,184,ave,COGR,4/21/2021,https://www.inaturalist.org/observations/122741455,y,40.1033,-88.5323,,DJM,84,114,Medium
1912,185,ave,COGR,4/10/2015,http://www.inaturalist.org/observations/1390045,y,32.88646,-97.2814,Black bird. Maybe some purples or greens in there. Ask to be sure.,WJG,84,114,Medium
1913,186,ave,COGR,6/18/2023,https://www.inaturalist.org/observations/168226526,y,41.53497,-88.1914,,DJM,84,114,Medium
1914,187,ave,COGR,2/4/2011,https://www.inaturalist.org/observations/32917917,y,37.28232,-76.7801,"size precludes RWBL, time of year precludes BTGR",DJM,84,114,Medium
1915,188,ave,COGR,8/26/2022,https://www.inaturalist.org/observations/132456078,y,40.83552,-73.4334,female/juvenile,DJM,84,114,Medium
1916,189,ave,COGR,4/1/2023,https://www.inaturalist.org/observations/153032908,y,41.469,-87.151,,Madeline,84,114,Medium
1917,190,ave,COGR,6/12/2023,https://www.inaturalist.org/observations/167235438,y,32.94711,-117.235,,DJM,84,114,Medium
1918,191,ave,COGR,3/23/2022,https://www.inaturalist.org/observations/109317970,y,42.25013,-71.1478,,DJM,84,114,Medium
1919,192,ave,COGR,5/22/2018,https://www.inaturalist.org/observations/12811233,y,44.91467,-93.3387,"Seems small for BLJA, but only bird that fits in range and color. Maybe BTBW, but out of range.; COGR ID by DJM",WJG,84,114,Medium
1920,193,ave,COGR,3/22/2021,https://www.inaturalist.org/observations/71838740,y,29.7174,-98.0759,,WJG,84,114,Medium
1921,194,ave,COGR,11/10/2018,https://www.inaturalist.org/observations/18348644,y,43.38353,-73.6142,,WJG,84,114,Medium
1922,195,ave,COGR,4/25/2021,https://www.inaturalist.org/observations/75215301,y,42.6042,-71.6168,Brutal,WJG,84,114,Medium
1923,196,ave,COGR,3/8/2021,https://www.inaturalist.org/observations/97400369,y,38.68447,-75.2547,"Notes say grackle, and I agree due to the size and color especially of the legs, as well as location.",WJG,84,114,Medium
