observed_on,url,Prey Y/N,prey_desc,latitude,longitude,notes,observer
1/25/2007,https://www.inaturalist.org/observations/68788744,N,,32.15023,-81.1042,,JW
2/11/2007,https://www.inaturalist.org/observations/40771993,N,,34.76752,-111.893,,Eling
2/19/2007,https://www.inaturalist.org/observations/67305761,N,,5.811965,-75.8005,,JW
2/24/2007,http://www.inaturalist.org/observations/135553,N,,32.84968,-116.996,,Eling
2/25/2007,https://www.inaturalist.org/observations/39908110,N,,5.562373,-75.6686,,Eling
3/11/2007,https://www.inaturalist.org/observations/91872849,N,,45.27149,-74.0377,,JW
4/19/2007,https://www.inaturalist.org/observations/15204522,Y,HOSP,34.26275,-118.41,,Naumann
6/2/2007,https://www.inaturalist.org/observations/17501803,N,,64.79801,-147.855,,Naumann
7/23/2007,https://www.inaturalist.org/observations/167001099,n,,-23.7002,-64.8651,,WJG
8/22/2007,https://www.inaturalist.org/observations/92957733,N,,44.81781,-76.2807,,JW
9/9/2007,https://www.inaturalist.org/observations/108520675,n,,50.31883,-64.4435,,WJG
9/16/2007,https://www.inaturalist.org/observations/143759539,N,,41.07869,-76.1188,,Naumann
9/23/2007,https://www.inaturalist.org/observations/150069411,n,,46.30362,-83.7841,,WJG
10/5/2007,https://www.inaturalist.org/observations/133954528,N,,42.05004,-82.5999,,JW
10/5/2007,https://www.inaturalist.org/observations/133954530,N,,42.05004,-82.5999,,JW
10/5/2007,https://www.inaturalist.org/observations/134087059,N,,41.95542,-82.514,,JW
10/6/2007,https://www.inaturalist.org/observations/106828990,n,,39.41563,-76.5509,,WJG
10/7/2007,https://www.inaturalist.org/observations/106835006,n,,39.41468,-76.8326,,WJG
10/17/2007,https://www.inaturalist.org/observations/109561774,n,,43.58893,-116.2,,WJG
10/18/2007,https://www.inaturalist.org/observations/9770927,NA,,18.5276,-95.1622,ROHA,Naumann
10/28/2007,https://www.inaturalist.org/observations/106835989,n,,39.28547,-76.7021,,WJG
11/8/2007,https://www.inaturalist.org/observations/52084239,N,,14.03589,-87.0785,SSP CHIONOGASTER,JW
11/12/2007,https://www.inaturalist.org/observations/9628210,Y,avian,57.05978,-135.343,,Naumann
11/18/2007,https://www.inaturalist.org/observations/143902552,NA,,48.34975,-122.399,COHA,Naumann
11/19/2007,https://www.inaturalist.org/observations/47990008,N,,19.24669,-99.222,,JW
11/21/2007,https://www.inaturalist.org/observations/61748419,Y,avian,49.01694,-119.431,,JW
11/22/2007,https://www.inaturalist.org/observations/19883826,N,,35.568,-117.67,,JW
11/29/2007,https://www.inaturalist.org/observations/106820430,n,,20.67426,-103.186,,WJG
12/9/2007,https://www.inaturalist.org/observations/56839208,N,,-0.37096,-78.0816,SSP VENTRALIS,JW
12/15/2007,https://www.inaturalist.org/observations/123756774,NA,,49.89409,-119.437,COHA -WJG,JW
12/15/2007,https://www.inaturalist.org/observations/123756782,NA,,49.89404,-119.437,COHA -WJG,JW
12/15/2007,https://www.inaturalist.org/observations/123757109,NA,,49.89377,-119.44,COHA -WJG,JW
12/21/2007,https://www.inaturalist.org/observations/62577202,N,,38.71238,-75.9112,,JW
1/8/2008,https://www.inaturalist.org/observations/9774249,NA,,21.5197,-105.249,ROHA,Naumann
1/12/2008,https://www.inaturalist.org/observations/106996503,n,,38.04698,-76.3242,,WJG
1/19/2008,https://www.inaturalist.org/observations/105734830,y,small avian,39.65564,-78.8106,,WJG
1/20/2008,https://www.inaturalist.org/observations/19655400,N,,42.79445,-80.2216,,JW
1/26/2008,https://www.inaturalist.org/observations/107014677,n,,38.8771,-75.29,,WJG
2/6/2008,https://www.inaturalist.org/observations/63646024,N,,45.32928,-75.738,,JW
2/8/2008,http://www.inaturalist.org/observations/33278,N,,34.23902,-119.017,,Eling
2/10/2008,https://www.inaturalist.org/observations/75369465,N,,43.72611,-79.9929,,JW
2/16/2008,https://www.inaturalist.org/observations/113113600,N,,42.28089,-81.8429,,JW
2/21/2008,https://www.inaturalist.org/observations/75369466,Y,avian,43.60143,-79.8355,,JW
3/2/2008,https://www.inaturalist.org/observations/106832059,n,,39.80953,-82.7708,,WJG
3/11/2008,https://www.inaturalist.org/observations/37015653,Y,small avian,43.95934,-78.1677,,Eling
3/14/2008,https://www.inaturalist.org/observations/107049194,n,,39.35458,-76.6523,,WJG
3/19/2008,https://www.inaturalist.org/observations/61563201,N,,49.61025,-120.352,,JW
4/1/2008,http://www.inaturalist.org/observations/495369,N,,36.82296,-119.697,,Eling
4/6/2008,https://www.inaturalist.org/observations/28976629,N,,48.36061,-79.0033,,JW
4/13/2008,https://www.inaturalist.org/observations/53048608,N,,34.21609,-84.2796,,JW
5/1/2008,https://www.inaturalist.org/observations/20081161,N,,45.46932,-64.7719,,JW
7/10/2008,https://www.inaturalist.org/observations/45705637,N,,-31.7267,-60.3259,,JW
7/24/2008,https://www.inaturalist.org/observations/144079754,NA,,48.4834,-123.119,COHA,Naumann
8/6/2008,https://www.inaturalist.org/observations/42212203,N,,60.95779,-149.088,,Eling
9/11/2008,https://www.inaturalist.org/observations/42244512,N,,38.93612,-74.9681,,Eling
9/12/2008,https://www.inaturalist.org/observations/63335089,N,,50.69129,-121.933,,JW
9/19/2008,https://www.inaturalist.org/observations/107664856,n,,38.96149,-74.9464,,WJG
9/21/2008,https://www.inaturalist.org/observations/107727701,n,,38.93488,-74.9589,,WJG
9/26/2008,https://www.inaturalist.org/observations/111490917,N,,49.09784,-121.914,,JW
9/30/2008,http://www.inaturalist.org/observations/410541,NA,,29.55728,-98.7459,COHA,Eling
10/1/2008,https://www.inaturalist.org/observations/10668709,N,,24.74078,-80.9818,,Naumann
10/5/2008,https://www.inaturalist.org/observations/184326851,n,,43.63311,-79.3687,,WJG
